Sponsor,Composite Ticker,Composite Name,Constituent Ticker,Constituent Name,Weighting,Identifier,Date,Location,Exchange,Total Shares Held,Notional Value,Market Value,Sponsor Sector,Last Trade,Currency,BloombergSymbol,BloombergExchange,BloombergSector,BloombergIndustryGroup,Coupon,Maturity,Rating,Type,SharesOutstanding,MarketCap,Earnings,PE Ratio,Face,eSignalTicker,TimeZone,DividendAmt,LastDividendDate,DividendYield,FutVal,Sector,IndustryGroup,Industry,SubIndustry,CUSIP,ISIN,SEDOL
First Trust,BICK,First Trust BICK Index Fund ETF,'CIEL3.BZ,Cielo SA,0.0108,'CIEL3BZ,3/14/13,Brazil,BM&FBOVESPA,,,,Information Technology,57.89,BRL,CIEL3:BZ,BM&FBOVESPA,Consumer Non-cyclical,Commercial Serv-Finance,,,,Global Equity ETF,655.1,39181.3,3.5421,16.8853,,CIEL3-BSP,-3,1.2279,3/14/13,4.11,,,,,,,'BRCIELACNOR3,'B614LY3
First Trust,BICK,First Trust BICK Index Fund ETF,'035420.KS,NHN Corp,0.0108,'035420KS,3/14/13,Korea,Korea SE,,,,Information Technology,264000,KRW,035420:KS,Korea SE,Communications,Web Portals/ISP,,,,Global Equity ETF,48.13,12657586,10134,25.9522,,035420-KOR,9,616,12/27/12,0.23,,,,,,,,'6560393
First Trust,BICK,First Trust BICK Index Fund ETF,'AMIL3.BZ,Amil Participacoes SA,0.0108,'AMIL3BZ,3/14/13,Brazil,BM&FBOVESPA,,,,Health Care,31.48,BRL,AMIL3:BZ,BM&FBOVESPA,Consumer Non-cyclical,Medical-HMO,,,,Global Equity ETF,366.75,11501.14,-0.2045,0,,AMIL3-BSP,-3,0.1396,3/14/12,0.45,,,,,,,'BRAMILACNOR0,'B28T2K6
First Trust,BICK,First Trust BICK Index Fund ETF,'BSBR,Banco Santander Brasil SA/Brazil,0.0107,'BSBR,3/14/13,United States,New York,,,,Financials,7.58,USD,BSBR:US,New York,Financial,Commer Banks Non-US,,,,Global Equity ETF,3800.42,27857.08,0,0,,BSBR,-5,0.0509,12/27/12,0.45,,,,,,'05967A107,'US05967A1079,'B4Q2DV9
First Trust,BICK,First Trust BICK Index Fund ETF,'000660.KS,SK Hynix Inc,0.0107,'000660KS,3/14/13,Korea,Korea SE,,,,Information Technology,28400,KRW,000660:KS,Korea SE,Technology,Electronic Compo-Semicon,,,,Global Equity ETF,694.16,18395128,-251,0,,000660-KOR,9,,12/29/11,,,,,,,,,'6450267
First Trust,BICK,First Trust BICK Index Fund ETF,'086790.KS,Hana Financial Group Inc,0.0107,'086790KS,3/14/13,Korea,Korea SE,,,,Financials,38600,KRW,086790:KS,Korea SE,Financial,Diversified Finan Serv,,,,Global Equity ETF,243.05,9819210,6901,5.8542,,086790-KOR,9,200,6/28/12,0.5,,,,,,,,'B0RNRF5
First Trust,BICK,First Trust BICK Index Fund ETF,'998.HK,China CITIC Bank Corporation Ltd. (H Shares),0.0106,'998HK,3/14/13,,,,,,Financials,, ,,,,,,,,Global Equity ETF,,,,,,,,,,,,,,,,,,
First Trust,BICK,First Trust BICK Index Fund ETF,'992.HK,Lenovo Group Ltd,0.0105,'992HK,3/14/13,China,Hong Kong,,,,Information Technology,7.52,HKD,992:HK,Hong Kong,Technology,Computers,,,,Global Equity ETF,10432.82,93895.41,0.0559,20.761,,0992-HKG,8,0.045,11/21/12,1.61,,,,,,,'HK0992009065,'6218089
First Trust,BICK,First Trust BICK Index Fund ETF,'066570.KS,LG Electronics Inc,0.0105,'066570KS,3/14/13,Korea,Korea SE,,,,Consumer Discretionary,80300,KRW,066570:KS,Korea SE,Industrial,Electric Products-Misc,,,,Global Equity ETF,163.65,12813624,2353,33.2767,,066570-KOR,9,200,12/27/12,0.26,,,,,,,,'6520739
First Trust,BICK,First Trust BICK Index Fund ETF,'BVMF3.BZ,BM&FBovespa SA,0.0105,'BVMF3BZ,3/14/13,Brazil,BM&FBOVESPA,,,,Financials,13.6,BRL,BVMF3:BZ,BM&FBOVESPA,Financial,Finance-Other Services,,,,Global Equity ETF,1980,26056.8,0.5565,23.6479,,BVMF3-BSP,-3,0.201,4/18/13,6.11,,,,,,,'BRBVMFACNOR3,'B2RHNV9
First Trust,BICK,First Trust BICK Index Fund ETF,'ABV,Cia de Bebidas das Americas,0.0104,'ABV,3/14/13,United States,New York,,,,Consumer Staples,43.04,USD,ABV:US,New York,Consumer Non-cyclical,Brewery,,,,Global Equity ETF,1374.06,140464.36,0,0,,ABV,-5,0.3144,3/6/13,2.09,,,,,,'20441W203,'US20441W2035,'2634797
First Trust,BICK,First Trust BICK Index Fund ETF,'3988.HK,Bank of China Ltd,0.0104,'3988HK,3/14/13,China,Hong Kong,,,,Financials,3.49,HKD,3988:HK,Hong Kong,Financial,Commer Banks Non-US,,,,Global Equity ETF,83622.28,1027028.38,0.467,6.1348,,3988-HKG,8,0.1395,6/6/12,5.29,,,,,,,'CNE1000001Z5,'B154564
